category,title,price,image
elektronnye_knigi,Электронная книга PocketBook PB627-G-GE-CIS золото,17 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB606-E-CIS черный,10 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB606-D-CIS белый,10 490 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB1040-J-CIS серый,42 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,"Электронная книга Texet TB-137SE 4ГБ черный (6"".800x 600.Механические кнопки)",6 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB632-K-CIS brown,18 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
elektronnye_knigi,Электронная книга PocketBook PB627-S-CIS silver,15 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA NH13 SATA (Silver) USB 3.0",4 150 сом,https://www.planeta.kg/upload/iblock/eb8/eb83f2d59cb49ea893e99b975f98c981.jpeg
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA NH13 SATA (Black) USB 3.0",4 150 сом,https://www.planeta.kg/upload/iblock/831/8313bf478e55d5bc0b69daae9b339dbb.jpeg
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA HV620 SATA (Black) USB 3.0",4 050 сом,https://www.planeta.kg/upload/iblock/429/42994012ef280e89865c455a4b53fad4.jpeg
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA HD710 SATA (Yellow) USB 3.0",4 440 сом,https://www.planeta.kg/upload/iblock/c3f/c3ff9f2d3e542c4fa7002dccd9d45e19.jpeg
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA HD710 SATA (Blue) USB 3.0",4 440 сом,https://www.planeta.kg/upload/iblock/734/7343144c27cc01430086f77d51a5fb46.jpeg
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA HC500 SATA (Golden) USB 3.0",4 060 сом,https://www.planeta.kg/upload/iblock/2da/2da3161007b0e8e04c230b4e0d5bb437.jpeg
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA HD710 SATA (Black) USB 3.0",4 440 сом,https://www.planeta.kg/upload/iblock/a8e/a8eead34401ee5c706793c9489c2ebd8.jpeg
vneshnie_zhestkie_diski,"Внешний жесткий диск 2.5"" 500GB ADATA HD650 SATA (Red) USB 3.0",4 060 сом,https://www.planeta.kg/upload/iblock/b07/b071ba86de11c69e85120b24a9455198.jpeg
sborka,Сумка для переноса системного блока DFI PC Transpo,1 440 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sborka,"Процессор LGA1156 Intel Pentium G6950 Tray (2.8GHz, 3MB Cache L3, EMT64, Clarkdale)",6 220 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sborka,"Материнская плата LGA1150 Gigabyte GA-Z87X-SLI (1.1) (iZ87Ex, 1xPCI-Ex 16x, 4xDDR III-3000 (32Gb max), 6xSATA 3, RAID, USB 3.0, GLAN, DVI, HDMI, 7.1 c",7 000 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sborka,"Корпус ATX Samurai PA812 (2xUSB+Audio, SECC 0.6mm, Air Duct, LCD, Handle, Red\Black Front Panel)",1 220 сом 2 440 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sborka,"Внешний корпус для жесткого диска 1.8"" TwinMOS",670 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sborka,Блок питания ATX DELUX DLP-45D 450W (20+4pin),3 520 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sborka,Cooler LGA775 Gamma archer,0 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
sborka,ATX DELUX DLC-MF459,1 430 сом,https://www.planeta.kg/upload/iblock/914/9148423af18425b7f58f731adc765b73.png
programmnoe_obespechenie,"Антивирус Kaspersky Internet Security 2015 на 1 год, на 2 ПК",3 840 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
multimedia,"Digital Media Adapter Prestigio DMA-301 (DivX, DVD, VCD, MP3, CD, WMA,  PAL/NTSC/AUTO, ПДУ,LAN,Wi-Fi)",3 450 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
chekhly_i_aksessuary,"Монопод HARPER RSB-202 Black (Управление через bluetooth, кнопка дистанционного использования)",445 сом 890 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
chekhly_i_aksessuary,Чехол для Zenfone 5 ViewFlip Case White (BSL1X0),1 730 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
chekhly_i_aksessuary,Чехол для электронной книги PocketBook PBPUC-624/626-ORBC-RD оранжевый,930 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
chekhly_i_aksessuary,Чехол для Zopo ZP720 книжка (черный),410 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
chekhly_i_aksessuary,Монопод HARPER SO-201 Blue,290 сом 580 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
chekhly_i_aksessuary,Монопод HARPER RSB-105 Green (Управление через bluetooth),495 сом 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
chekhly_i_aksessuary,Монопод HARPER RSB-105 Black (Управление через bluetooth),495 сом 990 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
chekhly_i_aksessuary,Клавиатурный модуль для планшета ASUS Transformer TF103 ,5 150 сом,https://www.planeta.kg/upload/iblock/d6e/d6e5d69ab167c09bcc223727228f4105.jpeg
chekhly_i_aksessuary,Чехол силиконовый для Xiaomi Redmi3 Pro/Redmi3S Прозрачный (NYE5386GL),450 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
chekhly_i_aksessuary,Чехол книжка для Xiaomi Redmi3 Pro/Redmi3S White (NYE5379GL),650 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
planshety,"Планшет Asus MemoPad FHD10 LTE Blue (1B010A) (10"" IPS (1920x1200), S4 Pro 8064 Quad-Core (1.5Ghz), 2GB, 16GB Storage, Wi-Fi, Front Camera 1.2MP, Rear ",16 405 сом 32 810 сом,https://www.planeta.kg/upload/iblock/7a1/7a1cbfd1f330aad67d9c4cbf540b9d8f.jpeg
planshety,"Планшет Sony SGP512RU/W (10"" IPS (1920x1200), Qualcomm 801 Quad-Core (2.3Ghz), 3GB, 32GB Storage, Wi-Fi, Front Camera 2.2MP, Rear Camera 8.1MP)",20 415 сом 40 830 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
planshety,"Планшет Sony SGP511RU/B (10"" IPS (1920x1200), Qualcomm 801 Quad-Core (2.3Ghz), 3GB, 16GB Storage, Wi-Fi, Front Camera 2.2MP, Rear Camera 8.1MP)",19 680 сом 39 360 сом,https://www.planeta.kg/local/templates/planet/components/bitrix/catalog/.default/bitrix/catalog.section/.default/images/no_photo.png
planshety,"Планшет Asus Nexus 7C 32GB LTE (1A015A) (7"" IPS (1920x1200), S4 Pro 8064 Quad-Core (1.5Ghz), 2GB, 32GB Storage, BT, Wi-Fi, Front Camera 1.2MP, Rear Ca",15 135 сом 30 270 сом,https://www.planeta.kg/upload/iblock/f40/f404d95bed50d43c77707fbe238f3d00.jpeg
